fileName,sourcePath,fileExt,mimeType,fileSizeBytes,sha256,documentCategory,documentSubcategory,storageProvider,storageKey,lastModifiedAt,relationObjectType,relationObjectId,relationType,relationConfidence,contractDirection,contractItemNo,contractName,signDate,amountText,amountCny,partyA,partyB,counterparty,documentStatusHint,fieldFlags,duplicateOf,reviewStatus,parseStatus,qualityStatus
车路云一体化项目后向采购合同补充协议-天安-工业安装6%.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/工业安装（2个合同）/车路云一体化项目后向采购合同补充协议-天安-工业安装6%.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22988,a842ace6441f73f2eed48a57d09772448ea6829b9bf690a84f535ee935454ae4,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/a8/a842ace6441f73f2eed48a57d09772448ea6829b9bf690a84f535ee935454ae4/车路云一体化项目后向采购合同补充协议-天安-工业安装6%.docx,2025-07-22T01:29:51.513721+00:00,contract,WORD,,0.6,back_procurement,,车路云一体化项目后向采购合同补充协议-天安-工业安装6%,,,,车路云一体化项目后向采购合同,天安,车路云一体化项目后向采购合同,effective_candidate,supplement,,pending_review,pending,normal
天安-工业安装（6%）-车路云一体化项目后向采购合同(签署版).docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/工业安装（2个合同）/天安-工业安装（6%）-车路云一体化项目后向采购合同(签署版).docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,89601,179bfbdec919e6204e7bd310bc96895aa06e82b69b9dde1b7ef209515f60d885,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/17/179bfbdec919e6204e7bd310bc96895aa06e82b69b9dde1b7ef209515f60d885/天安-工业安装（6%）-车路云一体化项目后向采购合同(签署版).docx,2025-07-01T02:49:26+00:00,contract,WORD,,0.6,back_procurement,,天安-工业安装（6%）-车路云一体化项目后向采购合同(签署版),,,,天安,工业安装,工业安装,effective_candidate,,,pending_review,pending,normal
车路云一体化项目后向采购合同补充协议-天安-工业安装13%.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/工业安装（2个合同）/车路云一体化项目后向采购合同补充协议-天安-工业安装13%.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,23027,1e4677ea30c81429430ecc3888fceed51604d7ba77093021ff063b9f66206baf,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/1e/1e4677ea30c81429430ecc3888fceed51604d7ba77093021ff063b9f66206baf/车路云一体化项目后向采购合同补充协议-天安-工业安装13%.docx,2025-07-22T02:30:00.391982+00:00,contract,WORD,,0.6,back_procurement,,车路云一体化项目后向采购合同补充协议-天安-工业安装13%,,,,车路云一体化项目后向采购合同,天安,车路云一体化项目后向采购合同,effective_candidate,supplement,,pending_review,pending,normal
天安-工业安装（13%）-车路云一体化项目后向采购合同(签署版).docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/工业安装（2个合同）/天安-工业安装（13%）-车路云一体化项目后向采购合同(签署版).docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,151793,32d8ffaf8878be89e46be767521a20436968e70e58ac9b36baeebb84f95b7327,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/32/32d8ffaf8878be89e46be767521a20436968e70e58ac9b36baeebb84f95b7327/天安-工业安装（13%）-车路云一体化项目后向采购合同(签署版).docx,2025-07-01T02:49:26+00:00,contract,WORD,,0.6,back_procurement,,天安-工业安装（13%）-车路云一体化项目后向采购合同(签署版),,,,天安,工业安装,工业安装,effective_candidate,,,pending_review,pending,normal
车路云一体化项目后向采购合同-天安-万集-V2.4.1(2).docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/万集/车路云一体化项目后向采购合同-天安-万集-V2.4.1(2).docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,81157,2fdd9539e5453a38538fa8946130d3aa11d8ea63704823c258ab57cd9eedec4d,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2026/2f/2fdd9539e5453a38538fa8946130d3aa11d8ea63704823c258ab57cd9eedec4d/车路云一体化项目后向采购合同-天安-万集-V2.4.1(2).docx,2026-06-07T10:05:34.513060+00:00,contract,WORD,,0.6,back_procurement,,车路云一体化项目后向采购合同-天安-万集-V2.4.1(2),,,,车路云一体化项目后向采购合同,天安,车路云一体化项目后向采购合同,effective_candidate,,,pending_review,pending,normal
车路云一体化项目后向采购合同补充协议-天安-万集-V2.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/万集/车路云一体化项目后向采购合同补充协议-天安-万集-V2.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,18710,3b279c8e5b186f4056740d6d84aea6e960febd71242f4b0ba5e189e657e38e4a,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2026/3b/3b279c8e5b186f4056740d6d84aea6e960febd71242f4b0ba5e189e657e38e4a/车路云一体化项目后向采购合同补充协议-天安-万集-V2.docx,2026-06-07T09:07:30.198577+00:00,contract,WORD,,0.6,back_procurement,,车路云一体化项目后向采购合同补充协议-天安-万集-V2,,,,车路云一体化项目后向采购合同,天安,车路云一体化项目后向采购合同,effective_candidate,supplement,,pending_review,pending,normal
车路云一体化项目后向采购合同补充协议-天安-万集-朱.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/万集/车路云一体化项目后向采购合同补充协议-天安-万集-朱.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,22944,1cf8737edfdfa7484792f0e956d53834a9fa42a49661911c99ea176688c0517a,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2026/1c/1cf8737edfdfa7484792f0e956d53834a9fa42a49661911c99ea176688c0517a/车路云一体化项目后向采购合同补充协议-天安-万集-朱.docx,2026-06-07T09:07:28.783564+00:00,contract,WORD,,0.6,back_procurement,,车路云一体化项目后向采购合同补充协议-天安-万集-朱,,,,车路云一体化项目后向采购合同,天安,车路云一体化项目后向采购合同,effective_candidate,supplement,,pending_review,pending,normal
3. 天安-万集边缘云GPU算法等2025-5-19.pdf,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/万集/3. 天安-万集边缘云GPU算法等2025-5-19.pdf,pdf,application/pdf,2257098,44c1daea3ffae842237035cc100f46e54485471ae95fd51e35f1809bae633c67,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/44/44c1daea3ffae842237035cc100f46e54485471ae95fd51e35f1809bae633c67/3. 天安-万集边缘云GPU算法等2025-5-19.pdf,2025-07-22T01:55:32+00:00,contract,WORD,,0.6,back_procurement,3,3. 天安-万集边缘云GPU算法等2025-5-19,2025-05-19,,,天安,万集边缘云GPU算法等,万集边缘云GPU算法等,effective_candidate,,,pending_review,pending,normal
无锡市车路云一体化应用试点项目一阶段（车路云一体化项目采购合同）采购合同补充协议.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/万集/无锡市车路云一体化应用试点项目一阶段（车路云一体化项目采购合同）采购合同补充协议.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,19083,ad13773b5c78ce7216248cc5212bac61689c06c189f86b64d88c87110cf860f4,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/ad/ad13773b5c78ce7216248cc5212bac61689c06c189f86b64d88c87110cf860f4/无锡市车路云一体化应用试点项目一阶段（车路云一体化项目采购合同）采购合同补充协议.docx,2025-07-18T05:02:58.622782+00:00,contract,WORD,,0.6,back_procurement,,无锡市车路云一体化应用试点项目一阶段（车路云一体化项目采购合同）采购合同补充协议,,,,,,,effective_candidate,supplement,,pending_review,pending,normal
天安智联-合创智行（安全类采购合同）8（过审版）.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/合创/天安智联-合创智行（安全类采购合同）8（过审版）.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,81670,36ee586fc14795e0e290c4d672d140793e2da62d7842bacbd6da8bf038bcf2db,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2025/36/36ee586fc14795e0e290c4d672d140793e2da62d7842bacbd6da8bf038bcf2db/天安智联-合创智行（安全类采购合同）8（过审版）.docx,2025-10-29T04:47:43.171825+00:00,contract,WORD,,0.6,back_procurement,,天安智联-合创智行（安全类采购合同）8（过审版）,,,,天安智联,合创智行,合创智行,effective_candidate,,,pending_review,pending,normal
~$智联-合创智行（前项安全类销售合同）8（过审版）.docx,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/合创/~$智联-合创智行（前项安全类销售合同）8（过审版）.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,162,b64396d72dea9f927823fadacccd03385dfaba3934cdc7da24fd06dbae13ce96,contract,front_sales_contract,local,raw/wuxi-cv2x/contract/2026/b6/b64396d72dea9f927823fadacccd03385dfaba3934cdc7da24fd06dbae13ce96/~$智联-合创智行（前项安全类销售合同）8（过审版）.docx,2026-06-07T11:50:43.339834+00:00,contract,WORD,,0.6,front_sales,,~$智联-合创智行（前项安全类销售合同）8（过审版）,,,,智联,合创智行,智联,effective_candidate,,,pending_review,pending,normal
技术开发（委托）合同-天安-元数启航-无锡(签署版)定朱.doc,/Users/tt2000/Documents/天安智联/0000无锡市车路云一体化项目/0.合同/盖章版合同 WORD 版/后向采购合同/元数启航/技术开发（委托）合同-天安-元数启航-无锡(签署版)定朱.doc,doc,application/msword,47616,9cc37ccc570456c88aa1122c3d7e18692be388d6f1d5bc4487772f497c886e89,contract,back_procurement_contract,local,raw/wuxi-cv2x/contract/2026/9c/9cc37ccc570456c88aa1122c3d7e18692be388d6f1d5bc4487772f497c886e89/技术开发（委托）合同-天安-元数启航-无锡(签署版)定朱.doc,2026-06-07T12:12:35.389967+00:00,contract,WORD,,0.6,back_procurement,,技术开发（委托）合同-天安-元数启航-无锡(签署版)定朱,,,,合同,天安,合同,effective_candidate,,,pending_review,pending,normal
